horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2026-05-09,wk inc flu hosp,2026-05-09,4.0
0,01,quantile,0.025,2026-05-09,wk inc flu hosp,2026-05-09,5.0
0,01,quantile,0.05,2026-05-09,wk inc flu hosp,2026-05-09,6.0
0,01,quantile,0.1,2026-05-09,wk inc flu hosp,2026-05-09,7.0
0,01,quantile,0.15,2026-05-09,wk inc flu hosp,2026-05-09,8.0
0,01,quantile,0.2,2026-05-09,wk inc flu hosp,2026-05-09,9.0
0,01,quantile,0.25,2026-05-09,wk inc flu hosp,2026-05-09,10.0
0,01,quantile,0.3,2026-05-09,wk inc flu hosp,2026-05-09,11.0
0,01,quantile,0.35,2026-05-09,wk inc flu hosp,2026-05-09,11.0
0,01,quantile,0.4,2026-05-09,wk inc flu hosp,2026-05-09,13.0
0,01,quantile,0.45,2026-05-09,wk inc flu hosp,2026-05-09,14.0
0,01,quantile,0.5,2026-05-09,wk inc flu hosp,2026-05-09,16.0
0,01,quantile,0.55,2026-05-09,wk inc flu hosp,2026-05-09,18.0
0,01,quantile,0.6,2026-05-09,wk inc flu hosp,2026-05-09,20.0
0,01,quantile,0.65,2026-05-09,wk inc flu hosp,2026-05-09,21.0
0,01,quantile,0.7,2026-05-09,wk inc flu hosp,2026-05-09,24.0
0,01,quantile,0.75,2026-05-09,wk inc flu hosp,2026-05-09,26.0
0,01,quantile,0.8,2026-05-09,wk inc flu hosp,2026-05-09,29.0
0,01,quantile,0.85,2026-05-09,wk inc flu hosp,2026-05-09,32.0
0,01,quantile,0.9,2026-05-09,wk inc flu hosp,2026-05-09,35.0
0,01,quantile,0.95,2026-05-09,wk inc flu hosp,2026-05-09,42.0
0,01,quantile,0.975,2026-05-09,wk inc flu hosp,2026-05-09,47.0
0,01,quantile,0.99,2026-05-09,wk inc flu hosp,2026-05-09,54.0
1,01,quantile,0.01,2026-05-09,wk inc flu hosp,2026-05-16,3.0
1,01,quantile,0.025,2026-05-09,wk inc flu hosp,2026-05-16,3.0
1,01,quantile,0.05,2026-05-09,wk inc flu hosp,2026-05-16,3.0
1,01,quantile,0.1,2026-05-09,wk inc flu hosp,2026-05-16,4.0
1,01,quantile,0.15,2026-05-09,wk inc flu hosp,2026-05-16,6.0
1,01,quantile,0.2,2026-05-09,wk inc flu hosp,2026-05-16,7.0
1,01,quantile,0.25,2026-05-09,wk inc flu hosp,2026-05-16,8.0
1,01,quantile,0.3,2026-05-09,wk inc flu hosp,2026-05-16,10.0
1,01,quantile,0.35,2026-05-09,wk inc flu hosp,2026-05-16,11.0
1,01,quantile,0.4,2026-05-09,wk inc flu hosp,2026-05-16,13.0
1,01,quantile,0.45,2026-05-09,wk inc flu hosp,2026-05-16,15.0
1,01,quantile,0.5,2026-05-09,wk inc flu hosp,2026-05-16,17.0
1,01,quantile,0.55,2026-05-09,wk inc flu hosp,2026-05-16,19.0
1,01,quantile,0.6,2026-05-09,wk inc flu hosp,2026-05-16,21.0
1,01,quantile,0.65,2026-05-09,wk inc flu hosp,2026-05-16,24.0
1,01,quantile,0.7,2026-05-09,wk inc flu hosp,2026-05-16,26.0
1,01,quantile,0.75,2026-05-09,wk inc flu hosp,2026-05-16,29.0
1,01,quantile,0.8,2026-05-09,wk inc flu hosp,2026-05-16,32.0
1,01,quantile,0.85,2026-05-09,wk inc flu hosp,2026-05-16,36.0
1,01,quantile,0.9,2026-05-09,wk inc flu hosp,2026-05-16,41.0
1,01,quantile,0.95,2026-05-09,wk inc flu hosp,2026-05-16,50.0
1,01,quantile,0.975,2026-05-09,wk inc flu hosp,2026-05-16,58.0
1,01,quantile,0.99,2026-05-09,wk inc flu hosp,2026-05-16,69.0
2,01,quantile,0.01,2026-05-09,wk inc flu hosp,2026-05-23,1.0
2,01,quantile,0.025,2026-05-09,wk inc flu hosp,2026-05-23,1.0
2,01,quantile,0.05,2026-05-09,wk inc flu hosp,2026-05-23,2.0
2,01,quantile,0.1,2026-05-09,wk inc flu hosp,2026-05-23,3.0
2,01,quantile,0.15,2026-05-09,wk inc flu hosp,2026-05-23,5.0
2,01,quantile,0.2,2026-05-09,wk inc flu hosp,2026-05-23,6.0
2,01,quantile,0.25,2026-05-09,wk inc flu hosp,2026-05-23,7.0
2,01,quantile,0.3,2026-05-09,wk inc flu hosp,2026-05-23,9.0
2,01,quantile,0.35,2026-05-09,wk inc flu hosp,2026-05-23,10.0
2,01,quantile,0.4,2026-05-09,wk inc flu hosp,2026-05-23,12.0
2,01,quantile,0.45,2026-05-09,wk inc flu hosp,2026-05-23,14.0
2,01,quantile,0.5,2026-05-09,wk inc flu hosp,2026-05-23,17.0
2,01,quantile,0.55,2026-05-09,wk inc flu hosp,2026-05-23,20.0
2,01,quantile,0.6,2026-05-09,wk inc flu hosp,2026-05-23,24.0
2,01,quantile,0.65,2026-05-09,wk inc flu hosp,2026-05-23,27.0
2,01,quantile,0.7,2026-05-09,wk inc flu hosp,2026-05-23,31.0
2,01,quantile,0.75,2026-05-09,wk inc flu hosp,2026-05-23,35.0
2,01,quantile,0.8,2026-05-09,wk inc flu hosp,2026-05-23,40.0
2,01,quantile,0.85,2026-05-09,wk inc flu hosp,2026-05-23,45.0
2,01,quantile,0.9,2026-05-09,wk inc flu hosp,2026-05-23,53.0
2,01,quantile,0.95,2026-05-09,wk inc flu hosp,2026-05-23,64.0
2,01,quantile,0.975,2026-05-09,wk inc flu hosp,2026-05-23,75.0
2,01,quantile,0.99,2026-05-09,wk inc flu hosp,2026-05-23,89.0
3,01,quantile,0.01,2026-05-09,wk inc flu hosp,2026-05-30,0.0
3,01,quantile,0.025,2026-05-09,wk inc flu hosp,2026-05-30,0.0
3,01,quantile,0.05,2026-05-09,wk inc flu hosp,2026-05-30,0.0
3,01,quantile,0.1,2026-05-09,wk inc flu hosp,2026-05-30,2.0
3,01,quantile,0.15,2026-05-09,wk inc flu hosp,2026-05-30,3.0
3,01,quantile,0.2,2026-05-09,wk inc flu hosp,2026-05-30,5.0
3,01,quantile,0.25,2026-05-09,wk inc flu hosp,2026-05-30,6.0
3,01,quantile,0.3,2026-05-09,wk inc flu hosp,2026-05-30,6.0
3,01,quantile,0.35,2026-05-09,wk inc flu hosp,2026-05-30,8.0
3,01,quantile,0.4,2026-05-09,wk inc flu hosp,2026-05-30,10.0
